name,voteCount,rating,address,cusine,cost,timing,lat,long
Peter Cat,12404 votes,4.2,"18A, Park Street, Park Street Area, Kolkata","North Indian, Continental","₹1,000",11am – 11:20pm (Mon-Sun),22.5528321,88.352399
One Step Up,1770 votes,4.1,"18A, Park Street, Park Street Area, Kolkata","Bakery, Desserts","₹1,000",12noon – 11pm (Mon-Sun),22.5528321,88.352399
Carpe Diem,4083 votes,4.4,"18M, Park Street Area, Kolkata",Ice Cream,"₹1,000","12noon – 12midnight (Mon, Tue, Wed, Thu, Fri...",22.5526415,88.3526536
Barbeque Nation,5455 votes,4.6,"1st Floor, 24, Park Center Building, Park Street Area, Kolkata",Ice Cream,"₹1,800","12noon – 3:30pm, 6:30pm – 10:45pm (Mon-Sun)",22.551118,88.35392
Flurys,4709 votes,4.2,"15, Apeejay House, Park Street Area, Kolkata","Chinese, North Indian, Continental",₹400,7:30am – 11pm (Mon-Sun),22.5547536,88.3520505
KFC,2135 votes,4.1,"20K, Park Street, Park Street Area, Kolkata","Chinese, North Indian, Continental",₹450,11am – 11pm (Mon-Sun),22.5522042,88.3529781
Tung Fong,3644 votes,4.3,"25 B, Ground Floor, Karnani Mansion, Free School Street, Park Street Area, Kolkata","North Indian, Chinese, Kebab, BBQ","₹1,000","12noon – 4pm, 6pm – 11pm (Mon-Sun)",22.5534219,88.3532809
Arsalan,1500 votes,4,"119 A, Muzaffar Ahmed Street, Mirza Ghalib Street Crossing, Park Street Area, Kolkata","North Indian, Chinese, Kebab, BBQ","₹1,000",11am – 11:45pm (Mon-Sun),22.5536456,88.3552867
Kusum Rolls,1973 votes,4.1,"21, Karnani Mansion, Park Street Area, Kolkata","Bakery, Desserts, Sandwich",₹300,12noon – 11pm (Mon-Sun),22.553534,88.35213185
Kareem's,1027 votes,4.3,"55 B, Mirza Ghalib Street, Park Street Area, Kolkata","Bakery, Desserts, Sandwich","₹1,200","12:30pm – 4:30pm, 6:30pm – 11:30pm (Mon-Sun)",22.5540799,88.3540231
WOW! China,53 votes,3.8,"19-57, Park Street Area, Kolkata","Fast Food, Burger",₹650,12noon – 11pm (Mon-Sun),22.5544373,88.352693
Golden Spoon,1000 votes,3.6,"1, Middleton Row, Near Loreto House, Park Street Area, Kolkata","Fast Food, Burger",₹600,12noon – 11pm (Mon-Sun),22.5495374,88.3519056
Baskin Robbins,155 votes,3.9,"1, Middleton Row, Near Loreto House, Park Street Area, Kolkata",Bengali,₹300,10:30am – 9:30pm (Mon-Sun),22.5495374,88.3519056
BarBQ,8321 votes,4.3,"43-47-55, Park Street Area, Kolkata","Chinese, Asian","₹1,200",12noon – 11:15pm (Mon-Sun),22.5523997,88.3534288
The Kebab Factory,Cuisines:,NEW,"33, Royd Street, Park Street Area, Kolkata","Chinese, Asian",₹350,11am – 11pm (Mon-Sun),22.5521357,88.3571172
Patisserie By Franziska,Cuisines:,,"13C, Russell Street, Opposite Bengal Club, Park Street Area, Kolkata","Mughlai, North Indian, Rolls, Biryani",₹450,,22.55316465,88.3510754
The Sixth Sense,92 votes,4,"25B, Karnani Mansion, Opposite Westside, Park Street Area, Kolkata","Mughlai, North Indian, Rolls, Biryani","₹1,500","12noon – 12midnight (Mon-Thu),12noon – 2am...",22.5538861,88.3534294
Food King,23 votes,3.3,"90/1, Ground Floor, Muzaffar Ahmed Street, Ward 62, BR-4, Park Street Area, Kolkata",Rolls,₹300,12noon – 11:30pm (Mon-Sun),22.139887,87.7548472
Burgrill,888 votes,4.2,"12B/2, Park Street Park, Opposite Oxford Book Store, Park Street Area, Kolkata",Rolls,₹500,11am – 2am (Mon-Sun),23.05316,87.2631015
Zainab Biryani,Cuisines:,NEW,"19, Alimuddin Street, Park Street Area, Kolkata","Biryani, North Indian, Mughlai",₹400,11am – 11pm (Mon-Sun),22.5549295,88.3622137
The Crepe Cafe,81 votes,4.4,"6/1A, Middleton Street, Park Street Area, Kolkata","Biryani, North Indian, Mughlai",₹800,10:30am – 10:30pm (Mon-Sun),22.387312,87.3145079
Waffle Wallah,979 votes,4.2,"18 G, Stephen Court, Park Street Area, Kolkata","Chinese, Burmese",₹450,8am – 11pm (Mon-Sun),22.5529626,88.3523187
Shiraz Golden Restaurant,2552 votes,4,"135, Park Street Area, Kolkata","Chinese, Burmese",₹600,12noon – 11:30pm (Mon-Sun),22.546735,88.361816
Moulin Rouge,1019 votes,3.8,"31, Park Street Area, Kolkata","North Indian, Chinese, Mughlai",₹700,12noon – 11:30pm (Mon-Sun),22.5535745,88.353147
Pizza Hut,66 votes,3.7,"20 K, Sir William Jones Sarani, Park Street Area, Kolkata","North Indian, Chinese, Mughlai",₹600,11am – 1am (Mon-Sun),22.5515999,88.3527372
NFC Food Funda,71 votes,3.9,"48, AJC Bose Road, Near Mother Teresa House, Park Street Area, Kolkata","Chinese, North Indian, Asian",₹200,12:30pm – 12midnight (Mon-Sun),22.5530454,88.3636775
1000 BC,341 votes,3.9,"Ground Floor, 1, Camac Street, Park Street Area, Kolkata","Chinese, North Indian, Asian","₹1,000",12noon – 2am (Mon-Sun),22.5453874,88.352494
Eaterniaa,505 votes,4.1,"111, Ripon Street, Near Ripon Street Police Museum, Park Street Area, Kolkata",Kebab,₹500,11:30am – 12midnight (Mon-Sun),22.56620935,88.36469295
Barista,45 votes,3.5,"57, Park Street, Park Street Area, Kolkata",Kebab,₹600,8am – 11pm (Mon-Sun),22.552169,88.3534559
Hot Kati Roll,816 votes,3.8,"1B, Park Estate, Park Street Area, Kolkata","Bakery, Desserts",₹200,11am – 10pm (Mon-Sun),22.54915445,88.3567487
Domino's Pizza,99 votes,3.9,"31, Ward 63, Chowringhee Road, Shakespeare Sarani, Park Street Area, Kolkata","Continental, Chinese, North Indian",₹400,11am – 3am (Mon-Sun),22.5542634,88.350946
Aqua - The Park,801 votes,4,"The Park, 17, Park Street Area, Kolkata","Continental, Chinese, North Indian","₹3,000",,22.55409105,88.3518477
Zen - The Park,366 votes,4.1,"The Park, 17, Park Street Area, Kolkata","Desserts, Bakery, Beverages","₹4,000",,22.55409105,88.3518477
Saffron - The Park,355 votes,4.1,"The Park, 17, Park Street Area, Kolkata","Pizza, Desserts, Fast Food","₹1,900",,22.55409105,88.3518477
Roll It Out,80 votes,3.9,"2, Middle Row, Park Street Area, Kolkata","Chinese, Fast Food",₹350,"11am – 1am (Mon),11am – 3am (Tue-Sun)",22.5492062,88.3576466
Paradise Biryani,Cuisines:,NEW,"Shop 30 D, Ground Floor, Building Chowringhee Mansion, Jawaharlal Nehru Road, Park Street Area, Kolkata","Chinese, Fast Food",₹800,11am – 11pm (Mon-Sun),22.5560941,88.3510232
Nawab Dum Biryani,21 votes,3.3,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","Fast Food, Burger, Healthy Food",₹500,11am – 4am (Mon-Sun),22.6096528,87.8397615
Midnight Bites,866 votes,3.7,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","North Indian, Finger Food, Chinese",₹400,6pm – 4am (Mon-Sun),22.6096528,87.8397615
Dawat-E-Biryani,11 votes,3.2,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","Italian, Continental",₹300,6pm – 4am (Mon-Sun),22.6096528,87.8397615
Schezwan Kitchen,13 votes,3.3,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","Beverages, Fast Food",₹250,6pm – 4am (Mon-Sun),22.6096528,87.8397615
Burger Bites,52 votes,3.5,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","Salad, Italian, Burmese, Mexican",₹200,6pm – 4am (Mon-Sun),22.6096528,87.8397615
Middy's Chef Roll,50 votes,3.6,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","Chinese, Cantonese",₹250,6pm – 4am (Mon-Sun),22.6096528,87.8397615
The Bridge - The Park,676 votes,4,"The Park, 17, Park Street, Park Street Area, Kolkata","Fast Food, Burger, Healthy Food","₹3,000",12noon – 11pm (Mon-Sun),22.5540253,88.35171705
The Street - The Park,388 votes,3.8,"The Park, 17, Park Street, Park Street Area, Kolkata","Chinese, North Indian, Continental",₹900,,22.5540253,88.35171705
Koshe Kosha,640 votes,4,"1/1C, Ripon Street, Muzzafar Ahmed Street, Near Free School Street, Park Street Area, Kolkata","Biryani, Mughlai",₹700,11am – 11pm (Mon-Sun),22.3909989,87.32251695
The GT Route - Jameson Inn Shiraz,167 votes,3.9,"56, Park Street Area, Kolkata","Biryani, Mughlai",₹850,"12noon – 4pm, 7:30pm – 11:30pm (Mon-Sun)",22.5462322,88.3617718
Park Pavilion - Jameson Inn Shiraz Hotel,169 votes,3.8,"56, Park Street Area, Kolkata",Rolls,"₹1,200",24 Hours (Mon-Sun),22.5462322,88.3617718
Aurum Club & Kitchen,577 votes,4.1,"1/1, Camac Street, Opposite Allen Park, Park Street Area, Kolkata",Cafe,"₹1,000",1pm – 2am (Mon-Sun),22.3909989,87.32251695
Sienna Store & Cafe,Cuisines:,,"24, 1st Floor, Development House, Park Street Area, Kolkata",Cafe,₹900,,22.5509865,88.3536299
Trincas,1465 votes,4.1,"17, Park Street Area, Kolkata","Desserts, Bakery, Beverages","₹1,500",11:30am – 11:30pm (Mon-Sun),22.5541934,88.3519831
Lost in Taste,23 votes,3.2,"115, Muzaffar Ahmed Street Adjacent, Park Street Area, Kolkata","Biryani, North Indian, Mughlai, Kebab, Rolls",₹500,12noon – 3am (Mon-Sun),22.5538284,88.3547021
WOW! Momo,66 votes,3.9,"1, Ho Chi Minh Sarani, Opposite to Central, Park Street Area, Kolkata","Biryani, North Indian, Mughlai, Kebab, Rolls",₹350,10:30am – 10pm (Mon-Sun),22.54699945,88.35072905
